"row","col","lng","lat","land","ndvi1982","ndvi1983","ndvi1984","ndvi1985","ndvi1986","ndvi1987","ndvi1988","ndvi1989","ndvi1990","ndvi1991","ndvi1992","ndvi1993","ndvi1994","ndvi1995","ndvi1996","ndvi1997","ndvi1998","ndvi1999","ndvi2000","ndvi2001","ndvi2002","ndvi2003","ndvi2004","ndvi2005","ndvi2006","ndvi2007","ndvi2008","ndvi2009","ndvi2010","ndvi2011","ndvi2012","ndvi2013"
549,1082,-89.792027,44.208516,8,15.282,14.872,15.304,15.58,15.529,15.321,15.517,14.571,15.844,16.065,15.968,14.886,15.477,15.35,15.821,15.624,15.882,15.118,15.231,15.669,15.837,15.829,16.465,15.318,15.738,16.011,15.368,15.21,15.946,14.973,16.478,13.591
549,1083,-89.708694,44.208516,8,15.282,14.872,15.304,15.58,15.529,15.321,15.517,14.571,15.844,16.065,15.968,14.886,15.477,15.35,15.821,15.624,15.882,15.118,15.231,15.669,15.837,15.829,16.465,15.318,15.738,16.011,15.368,15.21,15.946,14.973,16.478,13.591
549,1084,-89.625361,44.208516,12,14.106,13.711,13.811,13.803,13.785,14.334,14.032,13.689,13.974,14.05,14.031,13.462,14.305,14.404,13.707,13.684,14.186,13.501,13.757,13.605,13.854,13.468,13.01,13.105,13.355,14.054,13.102,12.474,13.554,12.799,14.311,11.625
549,1085,-89.542029,44.208516,12,14.272,13.88,14.488,14.447,14.304,14.758,14.663,13.442,14.43,14.655,14.289,14.258,14.872,14.429,13.344,14.327,14.06,13.371,13.609,13.266,13.866,13.582,13.451,12.886,13.478,13.226,13.331,12.553,13.913,12.776,14.029,11.51
549,1086,-89.458695,44.208516,12,13.211,12.882,13.309,13.227,13.051,13.596,13.683,13.226,13.727,13.112,13.33,12.674,13.769,13.282,13.075,13.334,13.941,13.198,13.615,13.254,13.779,13.518,13.498,13.093,13.497,13.623,13.148,13.034,14.349,13.476,14.988,12.165
549,1087,-89.375362,44.208516,12,13.192,13.03,13.54,13.854,13.668,13.893,13.861,13.69,14.283,14.155,13.634,13.068,14.581,13.971,13.301,14.02,14.215,13.96,13.87,13.602,14.175,13.928,14.157,13.424,13.916,14.322,13.62,13.562,14.416,13.721,14.77,12.126
549,1088,-89.292029,44.208516,8,13.192,13.03,13.54,13.854,13.668,13.893,13.861,13.69,14.283,14.155,13.634,13.068,14.581,13.971,13.301,14.02,14.215,13.96,13.87,13.602,14.175,13.928,14.157,13.424,13.916,14.322,13.62,13.562,14.416,13.721,14.77,12.126
549,1089,-89.208697,44.208516,8,14.218,14.217,14.337,14.378,14.332,14.948,14.667,14.571,14.954,14.555,14.423,13.685,14.648,14.61,14.165,14.636,14.712,14.51,14.686,14.144,14.633,14.645,14.783,14.037,14.522,14.681,14.107,14.262,15.395,14.566,15.958,13.142
549,1090,-89.125363,44.208516,8,13.891,13.779,14.009,14.422,14.116,14.505,14.542,14.035,14.853,14.534,14.331,13.442,14.498,14.595,13.752,14.506,14.878,14.194,14.293,14.109,14.421,14.411,14.334,14.023,14.536,14.781,14.279,13.871,14.949,14.044,14.837,13.055
549,1091,-89.04203,44.208516,8,14.31,14.142,14.28,14.717,14.346,14.68,14.602,14.102,15.03,14.652,14.217,13.979,15.021,14.484,13.693,14.521,14.671,14.246,14.375,13.967,14.516,14.238,13.985,13.601,14.192,14.203,13.994,13.373,14.464,13.329,14.398,12.457
549,1092,-88.958697,44.208516,8,14.31,14.142,14.28,14.717,14.346,14.68,14.602,14.102,15.03,14.652,14.217,13.979,15.021,14.484,13.693,14.521,14.671,14.246,14.375,13.967,14.516,14.238,13.985,13.601,14.192,14.203,13.994,13.373,14.464,13.329,14.398,12.457
549,1093,-88.875364,44.208516,12,12.947,12.537,13.159,13.047,13.288,13.146,13.129,12.259,13.571,13.38,12.42,12.393,13.74,12.952,12.518,13.177,13.419,12.746,12.985,13.066,13.168,12.603,12.707,12.532,12.615,12.759,12.537,11.466,12.128,12.053,12.249,10.93
549,1094,-88.792031,44.208516,12,11.523,11.061,12.021,11.951,11.884,12.537,12.247,11.4,12.037,12.145,11.798,10.836,12.697,11.821,11.12,11.638,12.364,11.981,11.97,11.493,11.979,11.571,11.281,11.424,11.675,11.75,11.563,11.009,11.808,11.147,11.73,10.322
549,1095,-88.708698,44.208516,12,11.454,11.21,11.496,11.961,11.596,11.94,11.976,11.394,11.884,11.797,11.503,10.857,12.059,11.64,11.104,11.812,11.914,11.359,11.771,11.1,11.921,11.739,11.107,11.231,11.656,12.069,12.044,11.059,11.929,10.916,12.126,10.451
549,1096,-88.625366,44.208516,12,12.07,11.87,12.323,12.263,12.143,12.459,12.509,11.973,12.755,12.789,12.357,11.681,12.829,12.371,11.984,12.549,12.766,12.3,12.461,11.789,12.556,12.114,11.772,11.632,12.01,12.379,12.108,11.565,12.586,11.538,12.719,11.25
549,1097,-88.542032,44.208516,12,11.295,11.491,11.448,11.681,11.399,11.594,12.049,11.367,12.182,12.257,11.734,11.047,12.428,11.873,11.099,11.348,11.755,11.013,11.516,11.021,11.627,11.194,10.472,10.634,11.142,11.728,11.417,11.1,12.134,11.31,12.107,10.449
549,1100,-88.292034,44.208516,12,12.158,12.285,12.133,12.269,12.171,12.55,12.531,12.207,12.877,12.767,11.985,11.312,12.892,12.342,11.776,12.803,12.722,12.481,12.41,12.128,12.288,12.292,11.659,11.738,12.199,12.353,12.042,11.213,12.464,12.431,13.013,10.469
549,1101,-88.2087,44.208516,12,12.158,12.285,12.133,12.269,12.171,12.55,12.531,12.207,12.877,12.767,11.985,11.312,12.892,12.342,11.776,12.803,12.722,12.481,12.41,12.128,12.288,12.292,11.659,11.738,12.199,12.353,12.042,11.213,12.464,12.431,13.013,10.469
549,1102,-88.125367,44.208516,12,12.311,12.093,12.245,12.411,12.432,12.818,12.834,12.179,12.795,12.66,12.103,11.567,12.961,12.498,12.012,12.735,13.029,12.538,12.803,12.464,12.503,12.653,12.499,12.017,12.582,12.736,12.426,11.501,12.552,12.112,12.967,10.673
549,1103,-88.042034,44.208516,12,12.361,12.178,12.656,12.764,12.755,13.234,13.074,12.414,13.122,13.003,12.343,11.942,13.558,12.621,12.145,12.715,13.373,12.817,13.143,12.924,12.989,12.669,12.32,12.391,13,13.448,12.981,11.796,12.778,12.333,13.382,11.043
